,text,intent
0,above problem how will it solve ??,need_help
1,Hello sir is there anyone,Greetings
2,i think canvas login problem was due to browser.. I tried in chrome and it worked,great
3,Please provide me with the link to python class.,community_class_link
4,Understood,great
5,Tq,welocme_reply
6,so ill just copy paste what I wanted to know,need_help
7,sir any sujjestion to overcome this error?,need_help
8,"np.random.choice([&apos;Goal Area&apos;, &apos;Goal Line&apos;],1,p=[0.7590347263095939, 0.24096527369040613])[0]",code_error
9,in pands exercise 3rd one,assignment_pandas
10,actually I got the data set ..but I don&apos;t get what this question means,assignment_doubt
11,In assignment 3 ...question no 2 has ....how many comprehension lists,assignment_doubt
12,"<URIObject uri=https://api.asm.skype.com/v1/objects/0-sa-d2-b725f2eebb633e387c178d5b19d85242 url_thumbnail=https://api.asm.skype.com/v1/objects/0-sa-d2-b725f2eebb633e387c178d5b19d85242/views/imgt1_anim type=Picture.1 doc_id=0-sa-d2-b725f2eebb633e387c178d5b19d85242 width=1366 height=768>To view this shared photo, go to: <a href=https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d2-b725f2eebb633e387c178d5b19d85242>https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d2-b725f2eebb633e387c178d5b19d85242</a><OriginalName v=Untitled.png></OriginalName><FileSize v=188953></FileSize><meta type=photo originalName=Untitled.png></meta></URIObject>",O
13,"And do we need any vigorous practice on competitive programming,  in order to build our logical ability in python?",yes_reply
14,I applied for Python in Depth and Power BI course. I am yet to get access to dashboard. Could you please take care?,support_ticket_generate
15,Yes,more_query
16,ok can you check and tell me my registered id is <a href=mailto:paragjp@gmail.com>paragjp@gmail.com</a> and register mobile no is 9820445920,need_help
17,<MediaAlbum albumId=21edcfcd-20f2-4f64-ae84-6f0162b2dc6a></MediaAlbum>,O
18,"<URIObject uri=https://api.asm.skype.com/v1/objects/0-sa-d1-f7085f22ed60d2b39185288669a063b8 url_thumbnail=https://api.asm.skype.com/v1/objects/0-sa-d1-f7085f22ed60d2b39185288669a063b8/views/imgt1_anim type=Picture.1 doc_id=0-sa-d1-f7085f22ed60d2b39185288669a063b8 width=2048 height=1536>To view this shared photo, go to: <a href=https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d1-f7085f22ed60d2b39185288669a063b8>https://login.skype.com/login/sso?go=xmmfallback?pic=0-sa-d1-f7085f22ed60d2b39185288669a063b8</a><OriginalName v=1600889318206.JPEG></OriginalName><FileSize v=68629></FileSize><meta type=photo originalName=1600889318206.JPEG></meta></URIObject>",O
19,how to open terminal from the project folder to execute the git command,need_help
20,Please call me,need_skype_call
21,"Actually I am pursuing my MSc in Data Analytics.I was having bootcamp during the weekend. Hence, I couldn&apos;t attend the classes on 17th and 18th Oct.Now I&apos;m going through the recordings.I feel so confident after attending the trainings from iNeuron. Thank you so much!",Thank_you
22,Thank you,Thank_you
23,"because , Sentimental analysis is highly co-related to brand awreness and hence i want to multiply it with every variable â€¦.so plz guide me or enlighten me if am doing wrong",code_error
24,can i call now?,need_skype_call
25,Hi,Greetings
26,it will not show anything for download,need_help
27,then what will be the population mean,stats
28,in same way i tried to execute another one and getting this issue,need_help
29,i am Shiva from course ml22ndFEB batch,enter_query
30,hi,Greetings
31,thank you so much,Thank_you
32,okay Thank you <ss type=smile>:-)</ss>,Thank_you
33,Sir my internship meeting is tomorrow . And those who ll not attend will not go further. But I requested many times through mail and this medium that I have a family function in rural area so I may not be able  to  attend the session. So I asked to pls suggest me whether I should cancel the trip or not. But no response was given . And now I m in a rural area and I need atleast 3 days to move from here as transport problem is there. So what should I do?Will  I lose my internship chance?,internship_query
34,"oh thank You, not jus one i hope all 3 of my assignments will be viewd n evaluated successfully.",sure
35,Hello sir is there anyone?,Greetings
36,Please enroll me for the next internship...i would be great favor,internship_query
37,is todays class cancelled?,class_link
38,sir i have a problem in a code of class method using super,python_super_class
39,still getting the same error,need_help
40,"I have not got the dashboard access for BI and Tableu, Can you please help",power-bi_tableau_dashboard
41,after restart the system how to open navigator,anaconda_navigator_open
42,okay..after that i will be able to deploy successfully or something else needs to do ?<e_m a=kumar.deepu35 ts_ms=1591872017054 ts=1591872017 t=61></e_m>,deployment
43,Hi,Greetings
44,now this new error arises in image scrapper,image_scrapper
45,done sir connected,great
46,"Hello Sir, I would like to know when will next batch of intern will start?",internship_query
47,"Where we take word file as input, Word file can have text related to some article",word_file_input_query
48,sir i think my file is also ok just the point is url is showing incorrect,need_help
49,how to install all package in pycharm  ??,need_help
50,I received an email from Ineuron about an internship. Can you explain about the internship? I have not completed the course and what is the skill of doing an internship. and how many months it will be taken to complete the internship.,internship_query
51,i want to complete Power BI project which started on 27th april,powerbi_query
52,When ll I get the resume discussion slot or it is sent alredy or what is the status about it?,resume_query
53,Okay.,Thank_you
54,<partlist type=started alt= callId=09c2960b-57d3-4da7-afd5-8f9a1b860f78><part identity=live:.cid.b6267eb447e04148><name>Saritha Jaligama</name></part><part identity=live:.cid.4933a22bf564744><name>support@ineuron.ai</name></part></partlist>,O
55,ok sir,good_bye
56,thanks,Thank_you
